,Xgk,Ygk,X1992,Y1992,X2000,Y2000
0,5570120.596980791,124812.22773608562,266221.5125629036,624724.8591766703,5568256.030005147,7482170.562457795
1,5542315.02550941,125464.20084611957,238435.40499155317,625376.3759055273,5540450.350009964,7482077.451549377
2,5571077.960214276,160469.906664802,267178.20564212557,660357.5777301367,5568256.030005147,7517829.437542205
3,5543273.892000523,161308.28340695688,239393.6002761228,661195.367608572,5540450.350009964,7517922.548450623
4,5556666.777503223,143014.2393091332,252777.1107589705,642914.1293416168,5554323.109816536,7500000.0
5,5556698.10288376,143059.98584173076,252808.41421174072,642959.8438516415,5554353.188521064,7500046.554048433
