Xgk;Ygk;X1992;Y1992;X2000;Y2000
5570120.597;124812.228;266221.513;624724.859;5568256.03;7482170.562
5542315.026;125464.201;238435.405;625376.376;5540450.35;7482077.452
5571077.96;160469.907;267178.206;660357.578;5568256.03;7517829.438
5543273.892;161308.283;239393.6;661195.368;5540450.35;7517922.548
5556666.778;143014.239;252777.111;642914.129;5554323.11;7500000
5556698.103;143059.986;252808.414;642959.844;5554353.189;7500046.554
