Latitude;Longitude;Meters;kmh
52.0148;101.5849;11575;806
52.0617;101.4844;11582;811
52.0991;101.4041;11697;811
52.1378;101.3203;11758;821
52.1760;101.2377;11819;830
52.2200;101.1424;12032;816
52.2566;101.0629;12154;810
52.3040;100.9592;12192;813
52.3505;100.8568;12184;808
52.3871;100.7759;12192;811
52.4233;100.6960;12192;806
52.4590;100.6174;12184;801
52.4942;100.5388;12184;806
52.5337;100.4509;12184;800
52.5690;100.3717;12177;793
52.6165;100.2645;12192;797
52.6615;100.1633;12192;797
52.6962;100.0850;12192;789
52.7310;100.0063;12192;793
52.7935;99.8631;12192;789
52.8280;99.7842;12192;789
52.9105;99.5946;12192;785
52.9704;99.4552;12184;779
53.4340;98.3540;12184;787
53.4677;98.2720;12184;782
53.5194;98.1460;12192;800
53.6556;97.8103;12184;784
53.7061;97.6845;12192;789
53.7394;97.6013;12192;795
53.7907;97.4729;12184;798
53.8240;97.3893;12192;795
53.8843;97.2362;12192;800
53.9179;97.1508;12192;811
53.9519;97.0639;12192;822
53.9947;96.9546;12184;811
54.2345;96.3311;12192;813
54.2753;96.2168;12192;808
54.3198;96.0775;12192;806
54.3633;95.9399;12184;800
54.4144;95.7774;12184;793
54.4570;95.6412;12192;797
54.4948;95.5200;12184;789
54.5231;95.4283;12192;790
54.5508;95.3385;12192;793
54.5856;95.2257;12184;790
54.6153;95.1287;12184;784
54.6513;95.0103;12184;785
54.6789;94.9194;12192;787
54.7268;94.7606;12184;795
54.7544;94.6686;12192;797
54.7814;94.5778;12192;800
54.8096;94.4834;12184;801
54.8374;94.3902;12192;790
54.8668;94.2908;12192;782
54.8932;94.2005;12192;782
54.9197;94.1103;12184;779
54.9463;94.0188;12192;787
54.9728;93.9276;12184;790
55.0010;93.8307;12184;793
55.0264;93.7425;12192;793
55.0644;93.6104;12192;789
55.0906;93.5187;12192;789
55.1151;93.4329;12184;782
55.1438;93.3314;12192;777
55.1691;93.2418;12192;785
55.2159;93.0755;12192;782
55.2414;92.9845;12184;779
55.2676;92.8896;12184;785
55.2933;92.7963;12192;793
55.3356;92.6432;12184;790
55.3612;92.5500;12192;789
55.3988;92.4137;12192;785
55.4249;92.3226;12184;784
55.4510;92.2306;12192;784
55.4873;92.1024;12184;784
55.5168;91.9971;12192;789
55.5425;91.9051;12184;790
55.5693;91.8091;12192;785
55.6145;91.6459;12192;800
